Compagnie,Depart_Code,Arrivee_Code,Heure_Depart,Heure_Arrivee,Duree,Escales,Emissions_CO2_kg,Prix
JetBlue,LAX,JFK,15-06-2026 04:20 PM,16-06-2026 12:56 AM,5 hr 36 min,0,N/A,163
JetBlue,LAX,JFK,15-06-2026 08:35 PM,16-06-2026 05:10 AM,5 hr 35 min,0,N/A,163
American,LAX,JFK,15-06-2026 09:30 PM,16-06-2026 06:00 AM,5 hr 30 min,0,N/A,237
Delta,LAX,JFK,15-06-2026 09:10 PM,16-06-2026 05:25 AM,5 hr 15 min,0,N/A,250
Frontier,LAX,JFK,15-06-2026 11:20 PM,16-06-2026 11:51 AM,9 hr 31 min,0,N/A,182
JetBlue,LAX,JFK,15-06-2026 11:40 PM,16-06-2026 10:57 AM,8 hr 17 min,0,N/A,185
Sun Country Airlines,LAX,JFK,15-06-2026 08:58 AM,16-06-2026 10:53 AM,22 hr 55 min,0,N/A,203
JetBlue,LAX,JFK,15-06-2026 03:20 PM,15-06-2026 11:57 PM,5 hr 37 min,0,N/A,211
JetBlue,LAX,JFK,15-06-2026 11:35 PM,16-06-2026 08:11 AM,5 hr 36 min,0,N/A,211
American,LAX,JFK,15-06-2026 03:15 PM,15-06-2026 11:54 PM,5 hr 39 min,0,N/A,237
American,LAX,JFK,15-06-2026 10:30 PM,16-06-2026 07:00 AM,5 hr 30 min,0,N/A,237
JetBlue,LAX,JFK,15-06-2026 10:25 PM,16-06-2026 07:00 AM,5 hr 35 min,0,N/A,241
Delta,LAX,JFK,15-06-2026 10:45 PM,16-06-2026 07:04 AM,5 hr 19 min,0,N/A,250
Delta,LAX,JFK,15-06-2026 11:55 PM,16-06-2026 08:30 AM,5 hr 35 min,0,N/A,250
Delta,LAX,JFK,15-06-2026 11:10 AM,15-06-2026 07:58 PM,5 hr 48 min,0,N/A,267
JetBlue,LAX,JFK,15-06-2026 06:00 AM,15-06-2026 02:29 PM,5 hr 29 min,0,N/A,288
JetBlue,LAX,JFK,15-06-2026 02:20 PM,15-06-2026 11:00 PM,5 hr 40 min,0,N/A,288
American,LAX,JFK,15-06-2026 06:00 AM,15-06-2026 02:35 PM,5 hr 35 min,0,N/A,310
American,LAX,JFK,15-06-2026 10:00 AM,15-06-2026 06:33 PM,5 hr 33 min,0,N/A,310
American,LAX,JFK,15-06-2026 12:03 PM,15-06-2026 08:29 PM,5 hr 26 min,0,N/A,310
American,LAX,JFK,15-06-2026 12:51 PM,15-06-2026 09:30 PM,5 hr 39 min,0,N/A,310
Delta,LAX,JFK,15-06-2026 06:00 AM,15-06-2026 02:29 PM,5 hr 29 min,0,N/A,327
Delta,LAX,JFK,15-06-2026 07:00 AM,15-06-2026 03:34 PM,5 hr 34 min,0,N/A,327
Delta,LAX,JFK,15-06-2026 08:30 AM,15-06-2026 05:20 PM,5 hr 50 min,0,N/A,327
Delta,LAX,JFK,15-06-2026 09:30 AM,15-06-2026 06:20 PM,5 hr 50 min,0,N/A,327
Delta,LAX,JFK,15-06-2026 12:15 PM,15-06-2026 08:56 PM,5 hr 41 min,0,N/A,327
JetBlue,LAX,JFK,15-06-2026 07:25 AM,15-06-2026 03:58 PM,5 hr 33 min,0,N/A,336
JetBlue,LAX,JFK,15-06-2026 09:45 AM,15-06-2026 06:21 PM,5 hr 36 min,0,N/A,336
JetBlue,LAX,JFK,15-06-2026 12:05 PM,15-06-2026 08:39 PM,5 hr 34 min,0,N/A,336
American,LAX,JFK,15-06-2026 07:00 AM,15-06-2026 03:35 PM,5 hr 35 min,0,N/A,413
American,LAX,JFK,15-06-2026 10:50 AM,15-06-2026 07:23 PM,5 hr 33 min,0,N/A,413
JetBlue,LAX,JFK,15-06-2026 11:05 AM,15-06-2026 07:41 PM,5 hr 36 min,0,N/A,449
Delta,LAX,JFK,15-06-2026 01:15 PM,15-06-2026 09:50 PM,5 hr 35 min,0,N/A,466
Delta,LAX,JFK,15-06-2026 03:15 PM,15-06-2026 11:47 PM,5 hr 32 min,0,N/A,466
